ZIP,CITY,STATEID,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,CLUSTER
43302,Marion,OH,Building,Bus Station,Police Station,Convenience Store,Gym / Fitness Center,Toy / Game Store,Courthouse,Medical Center,Drugstore,Distribution Center,6
43311,Bellefontaine,OH,Post Office,Tourist Information Center,Italian Restaurant,Furniture / Home Store,Coworking Space,Coffee Shop,Shopping Mall,Business Service,Historic Site,Assisted Living,0
43315,Cardington,OH,Library,Hardware Store,Supermarket,Financial or Legal Service,Building,Salon / Barbershop,Winery,Hospital,Donut Shop,Dessert Shop,0
43318,De Graff,OH,Post Office,Ice Cream Shop,Restaurant,Discount Store,Gas Station,Farm,Gymnastics Gym,Doctor\\'s Office,Design Studio,Dessert Shop,3
43324,Huntsville,OH,Antique Shop,Convenience Store,Pizza Place,Ice Cream Shop,Coffee Shop,Building,Fire Station,Church,Elementary School,Bank,7
43334,Marengo,OH,Gas Station,Grocery Store,Fast Food Restaurant,Music Venue,Sandwich Place,BBQ Joint,Farmers Market,Convenience Store,Cosmetics Shop,Drugstore,3
43338,Mount Gilead,OH,Post Office,Financial or Legal Service,Sculpture Garden,Gas Station,Courthouse,Office,Government Building,Donut Shop,Hardware Store,Café,6
43342,Prospect,OH,Post Office,Bar,Building,Financial or Legal Service,Cemetery,Nursery School,Gas Station,Club House,Pizza Place,Costume Shop,3
43344,Richwood,OH,Post Office,College Library,Sandwich Place,Bank,Cosmetics Shop,Ice Cream Shop,Flower Shop,Office,Emergency Room,Eye Doctor,0
43357,West Liberty,OH,Antique Shop,Convenience Store,Ice Cream Shop,Gift Shop,Gas Station,Food,Field,Pharmacy,Post Office,Assisted Living,3
43701,Zanesville,OH,Building,Courthouse,Government Building,Lawyer,Bridge,Electronics Store,Italian Restaurant,Elementary School,Distribution Center,Dive Bar,6
43713,Barnesville,OH,Post Office,Government Building,Building,Storage Facility,Bowling Alley,Discount Store,Gas Station,Office,Pizza Place,Cosmetics Shop,3
43718,Belmont,OH,Hotel,Sandwich Place,High School,Gas Station,Fast Food Restaurant,State / Provincial Park,Financial or Legal Service,Rest Area,Doctor\\'s Office,Dessert Shop,3
43719,Bethesda,OH,Gas Station,Park,High School,Spiritual Center,Farm,Hotel,Fast Food Restaurant,Financial or Legal Service,Bank,Yoga Studio,3
43723,Byesville,OH,Elementary School,City Hall,Sandwich Place,Bank,Doctor\\'s Office,Food,Fast Food Restaurant,Platform,Funeral Home,Electronics Store,0
43724,Caldwell,OH,Pizza Place,Bank,Courthouse,Office,Medical Center,Auto Dealership,Discount Store,Distillery,Distribution Center,Dive Bar,6
43725,Cambridge,OH,Gym,Office,Church,Toy / Game Store,Park,University,Miscellaneous Shop,Wine Bar,Convention Center,Driving School,7
43731,Crooksville,OH,Church,Discount Store,Pizza Place,Convenience Store,Pharmacy,Ice Cream Shop,Financial or Legal Service,Supermarket,Drugstore,Distillery,7
43748,Junction City,OH,Bank,Post Office,Fire Station,Diner,Bar,Sandwich Place,Grocery Store,Government Building,High School,Elementary School,0
43749,Kimbolton,OH,Resort,Gas Station,Building,Financial or Legal Service,Campground,National Park,Yoga Studio,Distillery,Distribution Center,Dive Bar,3
43756,Mcconnelsville,OH,Salon / Barbershop,Building,Funeral Home,Discount Store,Bar,Bank,Courthouse,Lighting Store,Hardware Store,Event Service,6
43758,Malta,OH,Gas Station,Ice Cream Shop,Church,Military Base,Building,Bar,Cave,Driving School,Distillery,Distribution Center,3
43762,New Concord,OH,Doctor\\'s Office,Pizza Place,Coffee Shop,Sandwich Place,Diner,Bank,General College & University,Post Office,Electronics Store,Drugstore,0
43764,New Lexington,OH,Building,Post Office,Government Building,Sports Bar,Food,City Hall,Restaurant,Salon / Barbershop,Cosmetics Shop,Diner,0
43773,Quaker City,OH,Post Office,Financial or Legal Service,Gas Station,Bookstore,Food,Government Building,Miscellaneous Shop,Café,Construction & Landscaping,Event Space,3
43777,Roseville,OH,Gas Station,Thrift / Vintage Store,Church,Elementary School,Storage Facility,Sandwich Place,Dive Bar,Design Studio,Dessert Shop,Diner,3
43783,Somerset,OH,Post Office,Bank,Hardware Store,Gas Station,New American Restaurant,Cultural Center,Sandwich Place,Breakfast Spot,Historic Site,Assisted Living,3
43787,Stockport,OH,Discount Store,High School,Hardware Store,Building,Financial or Legal Service,Storage Facility,Grocery Store,Courthouse,Restaurant,Yoga Studio,6
43793,Woodsfield,OH,Salon / Barbershop,Sandwich Place,Medical Center,Fried Chicken Joint,Hardware Store,Fast Food Restaurant,Discount Store,Bar,Mexican Restaurant,Distillery,0
43804,Baltic,OH,Post Office,Bank,Sports Bar,Financial or Legal Service,Elementary School,Car Wash,Deli / Bodega,Theme Restaurant,Miscellaneous Shop,Winery,0
43812,Coshocton,OH,Office,Elementary School,Bar,College & University,General Travel,Doctor\\'s Office,Library,Conference Room,Event Service,Fabric Shop,0
43821,Dresden,OH,Business Center,Library,Pizza Place,Convenience Store,Financial or Legal Service,Storage Facility,Food Truck,General Travel,Driving School,Distillery,0
43822,Frazeysburg,OH,Sandwich Place,Gas Station,Baseball Field,Fast Food Restaurant,Other Nightlife,Financial or Legal Service,Nightlife Spot,Discount Store,Dive Bar,Diner,3
43824,Fresno,OH,Sandwich Place,Winery,Discount Store,Convenience Store,Financial or Legal Service,Big Box Store,Church,Donut Shop,Diner,Distillery,7
43830,Nashport,OH,Discount Store,Sandwich Place,Distribution Center,Gas Station,Nightclub,Government Building,Other Great Outdoors,Farm,Distillery,Design Studio,3
43832,Newcomerstown,OH,Fast Food Restaurant,Financial or Legal Service,Other Great Outdoors,Discount Store,Bar,Gas Station,Hotel,Event Space,Diner,Factory,3
43844,Warsaw,OH,Diner,High School,Bed & Breakfast,Discount Store,Ice Cream Shop,Steakhouse,Pet Store,Grocery Store,Automotive Shop,Driving School,0
43845,West Lafayette,OH,Doctor\\'s Office,Gas Station,Pizza Place,Convenience Store,Ice Cream Shop,Bank,Storage Facility,General Travel,Donut Shop,Diner,3
43906,Bellaire,OH,Post Office,Pizza Place,Event Space,Doctor\\'s Office,Bank,Pharmacy,Gas Station,Hospital,Convenience Store,Dessert Shop,3
43912,Bridgeport,OH,Post Office,Government Building,Other Great Outdoors,Border Crossing,Gas Station,Automotive Shop,Fast Food Restaurant,Health & Beauty Service,Hardware Store,Gymnastics Gym,3
43942,Powhatan Point,OH,Office,Tech Startup,Hardware Store,Harbor / Marina,Hotel,Discount Store,Grocery Store,Supermarket,General Travel,Doctor\\'s Office,0
43947,Shadyside,OH,Automotive Shop,Elementary School,Miscellaneous Shop,Hospital,Pizza Place,Hardware Store,Professional & Other Places,Bar,Bank,Drugstore,0
43950,Saint Clairsville,OH,Building,Pizza Place,Courthouse,Salon / Barbershop,Doctor\\'s Office,Government Building,Drugstore,Discount Store,Distillery,Distribution Center,6
44629,Gnadenhutten,OH,Post Office,Government Building,Café,Discount Store,Church,Gas Station,Thrift / Vintage Store,High School,Historic Site,Convenience Store,7
44637,Killbuck,OH,Pizza Place,Convenience Store,Post Office,Bar,Café,Elementary School,Wine Shop,Event Space,Donut Shop,Discount Store,0
44654,Millersburg,OH,Post Office,Government Building,Assisted Living,Hardware Store,Hotel,Jewelry Store,Mexican Restaurant,Antique Shop,Asian Restaurant,Construction & Landscaping,0
44681,Sugarcreek,OH,Antique Shop,Bakery,Gift Shop,Kitchen Supply Store,Library,Miscellaneous Shop,Monument / Landmark,Fabric Shop,Toy / Game Store,History Museum,0
44683,Uhrichsville,OH,History Museum,Convenience Store,Dentist\\'s Office,Discount Store,School,Grocery Store,Pharmacy,Government Building,Wine Bar,Elementary School,0
44813,Bellville,OH,Fast Food Restaurant,Grocery Store,Bed & Breakfast,Coffee Shop,Bank,Park,Donut Shop,Church,Hardware Store,Elementary School,0
44822,Butler,OH,Medical Center,Office,Field,Building,Financial or Legal Service,Government Building,Beer Garden,Residential Building (Apartment / Condo),Resort,Yoga Studio,0
45002,Cleves,OH,Post Office,Elementary School,Library,Gas Station,Deli / Bodega,Bar,Flower Shop,Funeral Home,Sporting Goods Shop,Hardware Store,3
45005,Franklin,OH,Parking,Rock Club,Business Center,Monument / Landmark,Baseball Stadium,Fountain,Music Venue,Distillery,Distribution Center,Dive Bar,0
45011,Hamilton,OH,Student Center,Italian Restaurant,Office,Library,Coffee Shop,Candy Store,Asian Restaurant,Courthouse,Bakery,Gift Shop,6
45013,Hamilton,OH,Student Center,Italian Restaurant,Office,Library,Coffee Shop,Candy Store,Asian Restaurant,Courthouse,Bakery,Gift Shop,6
45014,Fairfield,OH,Financial or Legal Service,Grocery Store,Auto Dealership,Locksmith,Field,Doctor\\'s Office,Medical Center,Electronics Store,Distribution Center,Dive Bar,0
45015,Hamilton,OH,Student Center,Italian Restaurant,Office,Library,Coffee Shop,Candy Store,Asian Restaurant,Courthouse,Bakery,Gift Shop,6
45030,Harrison,OH,Home Service,Coffee Shop,Steakhouse,Medical Center,Market,Dive Bar,Liquor Store,Church,Country Dance Club,Distribution Center,7
45036,Lebanon,OH,Church,Office,Event Space,Stadium,Lawyer,Gun Shop,Brewery,Government Building,Donut Shop,Diner,7
45039,Maineville,OH,City Hall,Child Care Service,Ice Cream Shop,Veterinarian,Automotive Shop,Gas Station,Donut Shop,Diner,Discount Store,Distillery,3
45040,Mason,OH,Plaza,Pharmacy,Bar,Music Store,Insurance Office,Thai Restaurant,Bridal Shop,Sandwich Place,Hobby Shop,Pizza Place,0
45042,Middletown,OH,Automotive Shop,Funeral Home,Office,Discount Store,Distillery,Pub,Ice Cream Shop,Storage Facility,Bakery,Diner,0
45044,Middletown,OH,Automotive Shop,Funeral Home,Office,Discount Store,Distillery,Pub,Ice Cream Shop,Storage Facility,Bakery,Diner,0
45050,Monroe,OH,Building,Post Office,Thai Restaurant,Salon / Barbershop,Gas Station,Dentist\\'s Office,Bank,City Hall,Gym / Fitness Center,Elementary School,0
45052,North Bend,OH,Post Office,Elementary School,Bar,Lake,City Hall,Memorial Site,Church,High School,Emergency Room,Event Service,7
45053,Okeana,OH,Baseball Stadium,Hardware Store,Dive Bar,Elementary School,Drugstore,Diner,Discount Store,Distillery,Distribution Center,Doctor\\'s Office,0
45054,Oregonia,OH,Post Office,Restaurant,General College & University,Tech Startup,Office,Emergency Room,Elementary School,Design Studio,Dessert Shop,Diner,0
45056,Oxford,OH,Salon / Barbershop,Sports Bar,Shipping Store,Pharmacy,Breakfast Spot,Wine Bar,Hardware Store,Doctor\\'s Office,Dessert Shop,Diner,0
45064,Somerville,OH,City Hall,Gas Station,Professional & Other Places,Lake,Storage Facility,Fire Station,Donut Shop,Diner,Discount Store,Distillery,3
45065,South Lebanon,OH,Department Store,Post Office,General Travel,Pizza Place,Coffee Shop,Church,Storage Facility,Bank,Miscellaneous Shop,Gun Shop,7
45066,Springboro,OH,Historic Site,Ice Cream Shop,Furniture / Home Store,Bike Shop,Coffee Shop,Financial or Legal Service,Government Building,Miscellaneous Shop,Café,Pizza Place,0
45067,Trenton,OH,Miscellaneous Shop,Bank,Pizza Place,City Hall,Chinese Restaurant,Dive Bar,Smoke Shop,Library,Bar,Police Station,0
45068,Waynesville,OH,Antique Shop,Design Studio,Gift Shop,Grocery Store,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,Doctor\\'s Office,0
45069,West Chester,OH,Post Office,Deli / Bodega,Vineyard,Photography Lab,Mental Health Office,Toy / Game Store,Doctor\\'s Office,Massage Studio,Yoga Studio,Driving School,0
45102,Amelia,OH,Bank,Automotive Shop,Miscellaneous Shop,Veterinarian,Church,Discount Store,Doctor\\'s Office,Lawyer,Event Service,Emergency Room,7
45103,Batavia,OH,Courthouse,Middle School,Diner,Ice Cream Shop,Office,Spa,Eye Doctor,Event Space,Discount Store,Distillery,6
45106,Bethel,OH,Pizza Place,Sandwich Place,Movie Theater,Gas Station,Coffee Shop,Government Building,Department Store,Yoga Studio,Dive Bar,Dessert Shop,3
45107,Blanchester,OH,Salon / Barbershop,School,Movie Theater,Gas Station,Fast Food Restaurant,Bank,Grocery Store,Funeral Home,Dive Bar,Dessert Shop,3
45113,Clarksville,OH,Discount Store,Convenience Store,General Travel,Yoga Studio,Drugstore,Distillery,Distribution Center,Dive Bar,Doctor\\'s Office,Donut Shop,0
45118,Fayetteville,OH,Gas Station,Church,Pub,College Math Building,Middle School,Fire Station,Elementary School,Donut Shop,Diner,Discount Store,3
45120,Felicity,OH,High School,Miscellaneous Shop,Hot Spring,Middle School,Tattoo Parlor,College Library,Bar,Bakery,Yoga Studio,Drugstore,0
45121,Georgetown,OH,Gas Station,City Hall,Building,Funeral Home,Bar,Courthouse,Theme Park Ride / Attraction,Historic Site,Event Service,Emergency Room,3
45122,Goshen,OH,Fast Food Restaurant,Pharmacy,Other Great Outdoors,Dentist\\'s Office,Daycare,Automotive Shop,Driving School,Lighthouse,Building,Event Service,0
45123,Greenfield,OH,Fast Food Restaurant,Chiropractor,Sports Bar,School,Gas Station,State / Provincial Park,Sandwich Place,Pizza Place,Post Office,Elementary School,3
45130,Hamersville,OH,Office,Automotive Shop,Emergency Room,Elementary School,Assisted Living,Gas Station,Medical Center,Diner,Discount Store,Distillery,3
45133,Hillsboro,OH,Gift Shop,Dentist\\'s Office,Eye Doctor,Coffee Shop,Bank,Insurance Office,Courthouse,BBQ Joint,Donut Shop,Discount Store,6
45135,Leesburg,OH,Automotive Shop,Discount Store,Community College,Pizza Place,Warehouse Store,Hardware Store,Fire Station,Bank,Yoga Studio,Distillery,0
45140,Loveland,OH,Salon / Barbershop,Supermarket,Thrift / Vintage Store,Arts & Crafts Store,Building,Cosmetics Shop,Restaurant,Grocery Store,Bank,Doctor\\'s Office,0
45142,Lynchburg,OH,Funeral Home,Park,Discount Store,Financial or Legal Service,Building,College Math Building,Pharmacy,Bar,Auto Dealership,Distillery,0
45144,Manchester,OH,Gas Station,Breakfast Spot,Library,Big Box Store,Bakery,Trade School,Automotive Shop,Discount Store,Pizza Place,Financial or Legal Service,3
45150,Milford,OH,Park,Bike Shop,French Restaurant,Coffee Shop,Country Dance Club,Candy Store,Toy / Game Store,Bakery,Market,Donut Shop,0
45152,Morrow,OH,Office,High School,Miscellaneous Shop,Gas Station,Dentist\\'s Office,Storage Facility,Fire Station,Donut Shop,Diner,Discount Store,3
45154,Mount Orab,OH,Post Office,Bar,Gas Station,Lawyer,Elementary School,Office,Pizza Place,Tattoo Parlor,High School,Assisted Living,3
45157,New Richmond,OH,Fast Food Restaurant,Grocery Store,Diner,Art Gallery,Discount Store,Veterinarian,Design Studio,Distillery,Distribution Center,Dive Bar,0
45159,New Vienna,OH,Office,Auto Dealership,Building,Golf Course,Diner,Eye Doctor,Donut Shop,Discount Store,Distillery,Distribution Center,0
45162,Pleasant Plain,OH,Post Office,Ice Cream Shop,Music Venue,General Travel,BBQ Joint,Automotive Shop,Fast Food Restaurant,High School,Driving School,Diner,0
45167,Ripley,OH,Doctor\\'s Office,Convenience Store,Bar,Brewery,College Classroom,Diner,Elementary School,Yoga Studio,Drugstore,Distillery,0
45169,Sabina,OH,Sandwich Place,Residential Building (Apartment / Condo),Church,Police Station,Café,Post Office,Professional & Other Places,Moving Target,City Hall,Fire Station,7
45171,Sardinia,OH,Post Office,Gas Station,Pizza Place,Building,Coffee Shop,Bank,Recycling Facility,Doctor\\'s Office,Diner,Discount Store,3
45176,Williamsburg,OH,Post Office,Grocery Store,Elementary School,Brewery,Donut Shop,Cemetery,Funeral Home,Trail,Lawyer,Veterinarian,0
45177,Wilmington,OH,General Entertainment,Building,Tourist Information Center,Deli / Bodega,Martial Arts Dojo,Courthouse,Government Building,Non-Profit,Music Venue,Italian Restaurant,6
45202,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45204,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45205,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45206,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45207,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45208,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45209,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45211,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45212,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45213,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45214,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45215,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45216,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45217,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45218,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45219,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45220,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45223,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45224,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45225,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45226,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45227,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45229,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45230,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45231,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45232,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45233,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45236,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45237,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45238,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45239,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45240,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45241,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45242,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45243,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45244,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45245,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45246,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45247,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45248,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45249,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45251,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45252,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45255,Cincinnati,OH,Business Center,Gym / Fitness Center,Office,Doctor\\'s Office,Fire Station,Middle School,Pharmacy,Financial or Legal Service,Police Station,Bus Stop,2
45304,Arcanum,OH,Post Office,Gym,Tanning Salon,Church,Jewelry Store,Auto Dealership,Athletics & Sports,Gas Station,Pub,Donut Shop,7
45305,Bellbrook,OH,Post Office,Insurance Office,Café,Bike Shop,Business Center,Gas Station,Library,Pub,Cosmetics Shop,Elementary School,3
45308,Bradford,OH,Bed & Breakfast,Grocery Store,Police Station,Museum,Funeral Home,Library,Gas Station,Bar,Café,Pizza Place,3
45309,Brookville,OH,Post Office,Building,Dance Studio,BBQ Joint,Train Station,Candy Store,Social Club,Salon / Barbershop,Gym / Fitness Center,Pizza Place,0
45311,Camden,OH,Gas Station,Pizza Place,Pharmacy,Financial or Legal Service,Bar,Town Hall,Government Building,Bank,Medical Center,Doctor\\'s Office,3
45314,Cedarville,OH,Church,Post Office,Coffee Shop,Trade School,College Arts Building,Sandwich Place,High School,Pizza Place,Emergency Room,Event Space,7
45315,Clayton,OH,Post Office,Transportation Service,Doctor\\'s Office,Campground,Community Center,Big Box Store,Gas Station,Bakery,Fast Food Restaurant,Gym,3
45318,Covington,OH,Post Office,Government Building,Police Station,Funeral Home,Furniture / Home Store,Bed & Breakfast,Sandwich Place,Library,Cosmetics Shop,Design Studio,0
45320,Eaton,OH,Post Office,Café,Bank,Financial or Legal Service,Courthouse,Plaza,Eye Doctor,Fabric Shop,Discount Store,Distillery,6
45322,Englewood,OH,Sandwich Place,Library,Post Office,Photography Lab,Arts & Crafts Store,Pet Store,Coffee Shop,Financial or Legal Service,Toy / Game Store,Jewelry Store,0
45323,Enon,OH,Post Office,Elementary School,Sandwich Place,Gas Station,Drugstore,Veterinarian,Office,Pizza Place,Electronics Store,Discount Store,3
45324,Fairborn,OH,Clothing Store,Costume Shop,Diner,Automotive Shop,Funeral Home,College Lab,Candy Store,Church,Sports Bar,Pizza Place,7
45327,Germantown,OH,Antique Shop,Tattoo Parlor,Hardware Store,Indie Movie Theater,Jewelry Store,Gas Station,Office,Cosmetics Shop,Post Office,Assisted Living,3
45335,Jamestown,OH,Post Office,Middle School,Gas Station,Cemetery,General Travel,Financial or Legal Service,Sandwich Place,Arts & Crafts Store,Event Service,Diner,3
45338,Lewisburg,OH,Office,Hardware Store,Ice Cream Shop,Fraternity House,College Library,Tanning Salon,Bank,Automotive Shop,Donut Shop,Diner,0
45341,Medway,OH,Post Office,Insurance Office,Business Service,Fast Food Restaurant,Steakhouse,Diner,Park,Bus Station,Costume Shop,Distribution Center,0
45342,Miamisburg,OH,Courthouse,Financial or Legal Service,Sandwich Place,Insurance Office,Fire Station,Non-Profit,Pizza Place,Emergency Room,Doctor\\'s Office,Diner,6
45344,New Carlisle,OH,Pharmacy,Grocery Store,Boutique,Art Gallery,Café,Dentist\\'s Office,Coffee Shop,Toy / Game Store,Distribution Center,Dive Bar,0
45345,New Lebanon,OH,Post Office,Pharmacy,Office,Bar,Gas Station,Convenience Store,Driving School,Diner,Discount Store,Distillery,3
45347,New Paris,OH,Gas Station,Hotel,Post Office,Restaurant,Breakfast Spot,Donut Shop,Diner,Discount Store,Distillery,Distribution Center,3
45356,Piqua,OH,Post Office,Church,Laundry Service,Laundromat,Trail,Office,Building,Event Service,Distribution Center,Dessert Shop,7
45365,Sidney,OH,Government Building,Chinese Restaurant,Clothing Store,Diner,Event Space,Courthouse,Office,Donut Shop,Discount Store,Distillery,6
45368,South Charleston,OH,Library,Pharmacy,Gas Station,Coffee Shop,Church,Fire Station,Truck Stop,Office,Fast Food Restaurant,High School,7
45369,South Vienna,OH,Rest Area,Post Office,Ice Cream Shop,Gas Station,Middle School,Farm,Convenience Store,Pizza Place,High School,Assisted Living,3
45370,Spring Valley,OH,Post Office,Building,Bar,Veterinarian,Ice Cream Shop,Gas Station,Event Space,Eye Doctor,Diner,Discount Store,3
45371,Tipp City,OH,Automotive Shop,Garden Center,Lounge,Financial or Legal Service,Event Space,Elementary School,Yoga Studio,Donut Shop,Discount Store,Distillery,0
45373,Troy,OH,Coffee Shop,Antique Shop,Candy Store,Design Studio,Bakery,Pedestrian Plaza,City Hall,Physical Therapist,Emergency Room,Dive Bar,0
45377,Vandalia,OH,Doctor\\'s Office,High School,Pizza Place,Mexican Restaurant,Pharmacy,Funeral Home,Donut Shop,Automotive Shop,Yoga Studio,Driving School,0
45381,West Alexandria,OH,Bank,Post Office,Financial or Legal Service,Diner,Sandwich Place,Nail Salon,Library,Convenience Store,Event Service,Dive Bar,0
45383,West Milton,OH,Hobby Shop,Government Building,Fast Food Restaurant,Nightclub,Chinese Restaurant,Diner,Gift Shop,Other Great Outdoors,Costume Shop,Country Dance Club,0
