ZIP,CITY,STATEID,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,CLUSTER
25123,Leon,WV,River,Farm,Hardware Store,General Entertainment,Vegetarian / Vegan Restaurant,Park,Doctor\\'s Office,Dessert Shop,Diner,Discount Store,0
25130,Madison,WV,High School,Courthouse,Fire Station,Bar,Doctor\\'s Office,Veterinarian,School,Event Service,Eye Doctor,Diner,6
25143,Nitro,WV,Gas Station,Convenience Store,Other Nightlife,Restaurant,Tattoo Parlor,Automotive Shop,Chiropractor,Yoga Studio,Dive Bar,Diner,3
25159,Poca,WV,Automotive Shop,Gas Station,Church,Discount Store,Pizza Place,Building,Bank,Driving School,Distillery,Distribution Center,7
25177,Saint Albans,WV,Bar,Church,Music Store,Café,Pharmacy,Music Venue,Medical Center,Distillery,Distribution Center,Dive Bar,7
25213,Winfield,WV,Police Station,Courthouse,Fast Food Restaurant,Breakfast Spot,Church,Discount Store,Stadium,Eye Doctor,Driving School,Factory,6
25248,Kenna,WV,Fast Food Restaurant,Post Office,Truck Stop,Elementary School,Financial or Legal Service,Office,Automotive Shop,Gas Station,Racetrack,Convention Center,3
25271,Ripley,WV,Mobile Phone Shop,Government Building,Financial or Legal Service,Tattoo Parlor,Bank,Restaurant,Courthouse,Post Office,Cosmetics Shop,Discount Store,6
25276,Spencer,WV,Office,City Hall,Movie Theater,Mexican Restaurant,Bank,Courthouse,Government Building,Donut Shop,Diner,Discount Store,6
25302,Charleston,WV,Post Office,General Entertainment,Conference Room,Pizza Place,Bookstore,Building,Boutique,Government Building,Bank,Park,0
25303,South Charleston,WV,Auto Dealership,Doctor\\'s Office,Rental Car Location,Breakfast Spot,Automotive Shop,Music Store,Distillery,Distribution Center,Dive Bar,Donut Shop,0
25304,Charleston,WV,Post Office,General Entertainment,Conference Room,Pizza Place,Bookstore,Building,Boutique,Government Building,Bank,Park,0
25306,Charleston,WV,Post Office,General Entertainment,Conference Room,Pizza Place,Bookstore,Building,Boutique,Government Building,Bank,Park,0
25309,South Charleston,WV,Auto Dealership,Doctor\\'s Office,Rental Car Location,Breakfast Spot,Automotive Shop,Music Store,Distillery,Distribution Center,Dive Bar,Donut Shop,0
25311,Charleston,WV,Post Office,General Entertainment,Conference Room,Pizza Place,Bookstore,Building,Boutique,Government Building,Bank,Park,0
25312,Charleston,WV,Post Office,General Entertainment,Conference Room,Pizza Place,Bookstore,Building,Boutique,Government Building,Bank,Park,0
25313,Charleston,WV,Post Office,General Entertainment,Conference Room,Pizza Place,Bookstore,Building,Boutique,Government Building,Bank,Park,0
25314,Charleston,WV,Post Office,General Entertainment,Conference Room,Pizza Place,Bookstore,Building,Boutique,Government Building,Bank,Park,0
25315,Charleston,WV,Post Office,General Entertainment,Conference Room,Pizza Place,Bookstore,Building,Boutique,Government Building,Bank,Park,0
25320,Charleston,WV,Post Office,General Entertainment,Conference Room,Pizza Place,Bookstore,Building,Boutique,Government Building,Bank,Park,0
25504,Barboursville,WV,Building,Post Office,College Library,Financial or Legal Service,Doctor\\'s Office,Office,Restaurant,Salon / Barbershop,Arts & Crafts Store,Convention Center,0
25506,Branchland,WV,Fast Food Restaurant,Insurance Office,Moving Target,Building,Discount Store,Gas Station,Factory,Hardware Store,High School,Electronics Store,3
